SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosages Description,Use For,DAR
1470,One Pharma Ltd.,Ocimax 10,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,049-0074-077
1471,One Pharma Ltd.,Ocimax 20 WSP (Vet),Ciprofloxacin,200 gm/Kg,Powder,Veterinary,049-0075-077
1472,One Pharma Ltd.,OT-Lev,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,049-0108-077
1473,One Pharma Ltd.,Digestive Powder (Vet),Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,049-0160-077
1474,One Pharma Ltd.,AnoFat Bolus (Vet),Choline + Cobalt + Cyanocobalamin + Ferrous Sulphate + Vitamin B1,9.1 mg + 50 mg + 20 mcg + 100 mg + 25 mg,Bolus,Veterinary,049-0161-077
1475,One Pharma Ltd.,OneMetro Bolus (Vet),Metronidazole,2 gm,Bolus,Veterinary,049-0163-077
1476,One Pharma Ltd.,Onemycin,Oxytetracycline,500 mg,Bolus,Veterinary,049-0164-077
1477,One Pharma Ltd.,Onemycin WSP (Vet),Oxytetracycline,50 gm/100 gm,Powder,Veterinary,049-0165-077
1478,One Pharma Ltd.,One-Aceta Bolus (Vet),Paracetamol,2 gm,Bolus,Veterinary,049-0166-077
1479,One Pharma Ltd.,OnMide Powder (Vet),Sulphanilamide,100%,Powder,Veterinary,049-0167-077
1480,One Pharma Ltd.,Ocimax Vet,Ciprofloxacin,50 mg/ml,Injection,Veterinary,049-0186-077
1481,One Pharma Ltd.,OneMec Vet,Ivermectin,10 mg/ml,Injection,Veterinary,049-0188-077
1482,One Pharma Ltd.,NitroMax Vet,Nitroxynil,34 gm/100 ml,Injection,Veterinary,049-0189-077
1483,One Pharma Ltd.,GentaMax Vet,Gentamicin,100 mg/ml,Injection,Veterinary,049-0190-077
1484,One Pharma Ltd.,OneCal-D Vet,Calcium Gluconate + Dextrose + Magnesium Hypophosphite,208 mg + 200 mg + 50 mg/ml,Injection,Veterinary,049-0191-077
1485,One Pharma Ltd.,Onesol (Vet) Solution,Benzalkonium Chloride,80 gm/100 ml,Solution,Veterinary,049-0203-077
1486,OSL Pharma Ltd.,Zigrow B Syrup,Nicotinamide + Pyridoxine Hydrochloride + Riboflavine Sodium Phosphate + Thiamine Hydrochloride + Zinc Sulphate Monohydrate,400 mg + 800 mg + 150 mg + 500 mg + 2 gm/100 ml,Liquid,Veterinary,259-0277-077
1487,Pharmik Laboratories Ltd.,Vitamin C 500,Vitamin C,1 gm/gm,Powder,Veterinary,179-0156-077
1488,Pharmik Laboratories Ltd.,Paracetamol Vet,Paracetamol,2 gm,Bolus,Veterinary,179-0157-077
1489,Pharmik Laboratories Ltd.,Metronidazole vet,Metronidazole,2 gm,Bolus,Veterinary,179-0158-077
1490,Popular Pharmaceuticals PLC,Alarvet,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,336-0294-077
1491,Popular Pharmaceuticals PLC,OTC Vet,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,336-0298-077
1492,Popular Pharmaceuticals PLC,Gesic Vet,Paracetamol,2 gm,Bolus,Veterinary,336-0299-077
1493,Popular Pharmaceuticals PLC,Faty DS,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),18.2 mg + 100 mg + 40 mcg + 200 mg + 50 mg,Bolus,Veterinary,336-0296-077
1494,Popular Pharmaceuticals PLC,3-Sulpha-S,Streptomycin + Sulfadiazine + Sulfadimidine + Sulfapyridine,313 mg + 1.583 gm + 1.583 gm + 1.583 gm,Bolus,Veterinary,336-0297-077
1495,Popular Pharmaceuticals PLC,Civox Vet,Ciprofloxacin,1 gm,Bolus,Veterinary,336-0300-077
1496,Popular Pharmaceuticals PLC,S-Vet,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,336-0316-077
1497,Popular Pharmaceuticals PLC,Orbidex Vet,Dexamethasone,10 mg,Bolus,Veterinary,336-0317-077
1498,Popular Pharmaceuticals PLC,PB Vet,Benzathine Penicillin + Procaine Benzylpenicillin,1500000 IU + 1500000 IU/vial,Injection,Veterinary,336-0318-077
1499,Popular Pharmaceuticals PLC,Invet,Ivermectin,1 gm/100 ml,Injection,Veterinary,336-0319-077
1500,Popular Pharmaceuticals PLC,Navet,Nitroxynil,25 gm/100 ml,Injection,Veterinary,336-0320-077
1501,Popular Pharmaceuticals PLC,Vaminil Vet,Levamisole,600 mg,Bolus,Veterinary,336-0332-077
1502,Popular Pharmaceuticals PLC,OTC Vet,Oxytetracycline,500 mg,Bolus,Veterinary,336-0333-077
1503,Popular Pharmaceuticals PLC,Enrex Vet,Enrofloxacin,100 mg/ml,Solution,Veterinary,336-0334-077
1504,Popular Pharmaceuticals PLC,Albentic Vet,Albendazole,600 mg,Bolus,Veterinary,336-0335-077
1505,Popular Pharmaceuticals PLC,Tylobac Vet,Tylosin,20 gm/100 gm,Powder,Veterinary,336-0342-077
1506,Popular Pharmaceuticals PLC,Vaminil Vet,Levamisole,30%,Powder,Veterinary,336-0344-077
1507,Popular Pharmaceuticals PLC,Metonid Vet,Metronidazole,2 gm,Bolus,Veterinary,336-0346-077
1508,Popular Pharmaceuticals PLC,Faty Vet,Choline + Cobalt + Cyanocobalamin + Ferrous Sulphate + Vitamin B1,9.1 mg + 50 mg + 20 mcg + 100 mg + 25 mg,Bolus,Veterinary,336-0347-077
1509,Popular Pharmaceuticals PLC,Motivet,Antimony Potassium Tartrate + Ferrous Sulphate,2 gm + 2 gm,Bolus,Veterinary,336-0348-077
1510,Popular Pharmaceuticals PLC,OTC 100 Vet,Lidocaine Hydrochloride + Oxytetracycline,2 gm + 10 gm/100 ml,Injection,Veterinary,336-0349-077
1511,Popular Pharmaceuticals PLC,Fimox Vet 30%,Amoxicillin,30%,Powder,Veterinary,336-0350-077
1512,Popular Pharmaceuticals PLC,Fimox Vet,Amoxicillin,1 gm,Injection,Veterinary,336-0360-077
1513,Popular Pharmaceuticals PLC,Picilin Vet 2 g,Ampicillin,2 gm,Injection,Veterinary,336-0362-077
1514,Popular Pharmaceuticals PLC,Megaphos Vet,Cyanocobalamin + Toldimfos Sodium,5 mg + 20 gm/100 ml,Injection,Veterinary,336-0363-077
1515,Popular Pharmaceuticals PLC,Proben Vet,Benzylpenicillin + Procaine Benzylpenicillin,2 Lac Unit + 6 Lac Unit/vial,Injection,Veterinary,336-0365-077
1516,Popular Pharmaceuticals PLC,Proben Vet,Benzyl Penicillin + Procaine Penicillin,10 Lac IU + 30 Lac IU,Injection,Veterinary,336-0366-077
1517,Popular Pharmaceuticals PLC,LT Zol,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,336-0367-077
1518,Popular Pharmaceuticals PLC,Eracef Vet 1 g,Ceftriaxone,1 gm/vial,Injection,Veterinary,336-0368-077
1519,Popular Pharmaceuticals PLC,Eracef Vet 2 g,Ceftriaxone,2 gm/vial,Injection,Veterinary,336-0369-077
1520,Popular Pharmaceuticals PLC,Cefa-1 Vet,Cephalexin,7.5 gm/100 gm,Oral Powder,Veterinary,336-0399-077
1521,Popular Pharmaceuticals PLC,Gentabac,Gentamicin,20 gm/100 gm,Oral Powder,Veterinary,336-0400-077
1522,Popular Pharmaceuticals PLC,Eracef Vet 1 G IV,Ceftriaxone,1 gm/vial,Injection,Veterinary,336-0401-077
1523,Popular Pharmaceuticals PLC,Civox Vet IV Infusion,Ciprofloxacin,50 mg/ml,Injection,Veterinary,336-0402-077
1524,Popular Pharmaceuticals PLC,Pimex Vet,Piperazine,100%,Powder,Veterinary,336-0403-077
1525,Popular Pharmaceuticals PLC,Quickler Vet,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,336-0404-077
1526,Popular Pharmaceuticals PLC,Fimox Vet,Amoxicillin,500 mg,Bolus,Veterinary,336-0406-077
1527,Popular Pharmaceuticals PLC,Megagard Vet,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,336-0414-077
1528,Popular Pharmaceuticals PLC,S-Vet Plus,Erythromycin Thiocyanate + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,Veterinary,336-0466-077
1529,Popular Pharmaceuticals PLC,CTC Vet 20%,Chlortetracycline Hydrochloride,20 gm/100 gm,Powder,Veterinary,336-0567-077
1530,Popular Pharmaceuticals PLC,CTC Vet 45%,Chlortetracycline Hydrochloride,45 gm/100 gm,Powder,Veterinary,336-0468-077
1531,Popular Pharmaceuticals PLC,Glucolin Vet 25%,Dextrose Anhydrous,25 gm/100 ml,IV Infusion,Veterinary,336-0606-077
1532,Popular Pharmaceuticals PLC,Glucolin Vet,Dextrose Anhydrous,50 gm/100 ml,IV Infusion,Veterinary,336-0607-077
1533,Popular Pharmaceuticals PLC,Caldex Vet Forte,Calcium Gluconate + Dextrose Anhydrous + Magnessium Chloride,25 gm + 5 gm + 3 gm/100 ml,IV Infusion,Veterinary,336-0609-077
1534,Popular Pharmaceuticals PLC,Caldex Vet IV Infusion,Boric Acid + Calcium Gluconate + Dextrose Anhydrous + Magnesium Hypophosphite,4.2 gm + 20.8 gm + 22 gm + 5 gm/100 ml,Injection,Veterinary,336-0610-077
1535,Popular Pharmaceuticals PLC,Aminovit Plus (Vet),Calcium Chloride + D-Pantothenol + DL-Methionine + Dextrose + L-Arginine Hcl + L-Cysteine Hcl + L-Histidine Hcl + L-Isolencine + L-Leucine + L-Lysine HCl + L-Phenylalamine + L-Threonine + L-Tryptophane + L-Valine + Magnesium Sulphate + Monosodium Glutamate + Nicotinamide + Potassium Chloride + Pyridoxine + Riboflavin + Sodium Acetate + Thiamine Hydrochloride,2 mg + .1 mg + .525 mg + 50 mg + 1.425 mg + .02 mg + .02 mg + .525 mg + .6 mg + .525 mg + .35 mg + .35 mg + .175 mg + .525 mg + 2 mg + .08 mg + 3 mg + 2 mg + .1 mg + .05 mg + 7.5 mg + .1 mg/ml,Injection,Veterinary,336-0611-077
1536,Popular Pharmaceuticals PLC,Gentabac (VET),Gentamicin,10 gm/100 ml,Injection,Veterinary,336-0269-077
1537,Popular Pharmaceuticals PLC,Becovet Inj (Vet),Cyanocobalamin + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,5 mg + 5 gm + 500 mg + 150 mg + 2.5 gm/100 ml,Injection,Veterinary,336-0270-077
1538,Popular Pharmaceuticals PLC,Megasol Inj (Vet),Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,336-0271-077
1539,Popular Pharmaceuticals PLC,Hazmi Vet Oral Powder,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,336-0273-077
1540,Popular Pharmaceuticals PLC,Pevox Vet Oral Solution,Pefloxacin,10 gm/100 ml,Solution,Veterinary,336-0275-077
1541,Popular Pharmaceuticals PLC,Tolicox oral Solution,Toltrazuril,2.5 gm/100 ml,Oral Liquid,Veterinary,336-0652-077
1542,Popular Pharmaceuticals PLC,Eracef 500,Ceftriaxone,500 mg/vial,Injection,Veterinary,336-0746-077
1543,Popular Pharmaceuticals PLC,Camlox Vet,Meloxicam,50 mg/10 ml,Injection,Veterinary,336-0747-077
1544,Popular Pharmaceuticals PLC,Camlox Vet,Meloxicam,150 mg/30 ml,Injection,Veterinary,336-0748-077
1545,Popular Pharmaceuticals PLC,Tilmibac Vet,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,336-0754-077
1546,Popular Pharmaceuticals PLC,Meglunix Vet,Flunixin,5 gm/100 ml,Injection,Veterinary,336-0755-077
1547,Popular Pharmaceuticals PLC,Camlox Vet Bolus,Meloxicam,100 mg,Bolus,Veterinary,336-0762-077
1548,Popular Pharmaceuticals PLC,Marbac DS Vet Bolus,Marbofloxacin,100 mg,Bolus,Veterinary,336-0798-077
1549,Popular Pharmaceuticals PLC,Marbac Vet Bolus,Marbofloxacin,50 mg,Bolus,Veterinary,336-0797-077
1550,Popular Pharmaceuticals PLC,Invet Oral Solution,Ivermectin,1 gm/100 gm,Solution,Veterinary,336-0850-077
1551,Popular Pharmaceuticals PLC,Vetflor Oral Solution,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,336-0871-077
1552,Pristine Pharmaceuticals,Albendazole ds oral,Albendazole,10 gm/100 ml,Suspension,Veterinary,130-0138-077
1553,"Peertop Pharmaceuticals Ltd.,",Peerspirin+,Acetylsalicylic Acid + Vitamin C,60 gm + 6.65 gm/100 gm,Powder,Veterinary,479-0001-077
1554,"Peertop Pharmaceuticals Ltd.,",Peercox Powder (Vet),Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,479-0002-077
1555,"Peertop Pharmaceuticals Ltd.,",Peerlinco Powder (Vet),Lincomycin,44 mg/gm,Powder,Veterinary,479-0003-077
1556,"Peertop Pharmaceuticals Ltd.,",Peermycine Powder (Vet),Oxytetracycline,20 gm/100 gm,Powder,Veterinary,479-0004-077
1557,"Peertop Pharmaceuticals Ltd.,",Peercirpo Solution (Vet),Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,479-0005-077
1558,"Peertop Pharmaceuticals Ltd.,",Tolcoc Solution (Vet),Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,479-0007-077
1559,Rampart-Power Bangladesh Ltd.,Rampacycline,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,320-0021-077
1560,Rampart-Power Bangladesh Ltd.,Rampamox 10%,Amoxicillin,10%,Powder,Veterinary,320-0020-077
1561,Rampart-Power Bangladesh Ltd.,Tyloram,Tylosin,20%,Sachet,Veterinary,320-0019-077
1562,Rampart-Power Bangladesh Ltd.,Digivet,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,320-0002-077
1563,Rampart-Power Bangladesh Ltd.,Enorsol,Enrofloxacin,100 mg/ml,Solution,Veterinary,320-0017-077
1564,Rampart-Power Bangladesh Ltd.,Embavit WS,Antioxident + Ascorbic Acid + Choline + Cobalt + Copper + Cyanocobalamin + Elemental Iron + Folic Acid + Iodine + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,1 mg + 11 mg + 600 mg + 2 mg + 80 mg + 110 mg + 30 mg + 5 mg + 10 mg + 110 mg + 40 mg + 10 mg + 20 mg + 8 mg + 1.2 Lac IU + 25 mg + 24000 IU + 10 IU + 20 mg + 60 mg,Powder,Veterinary,320-0005-077
1565,Rampart-Power Bangladesh Ltd.,Nemacidol,Levamisole,46 gm/100 gm,Powder,Veterinary,320-0001-077
1566,Rampart-Power Bangladesh Ltd.,Abipar 100,Piperazine,100%,Powder,Veterinary,320-0004-077
1567,Rampart-Power Bangladesh Ltd.,Nemafax,Thiophanate,2 gm/100 gm,Powder,Veterinary,320-0003-077
1568,Rampart-Power Bangladesh Ltd.,Embazin,Sulphaquinoxaline,25 gm/100 gm,Powder,Veterinary,320-0006-077
1569,Rampart-Power Bangladesh Ltd.,Sulpha,Sulphanilamide,100%,Powder,Veterinary,320-0013-077
1570,Rampart-Power Bangladesh Ltd.,Trimavet,Sulphadiazine + Trimethoprim,1000 mg + 200 mg,Bolus,Veterinary,320-0014-077
1571,Rampart-Power Bangladesh Ltd.,Trimavet,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,320-0015-077
1572,Rampart-Power Bangladesh Ltd.,Trimide,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,320-0016-077
1573,Rampart-Power Bangladesh Ltd.,Vesadine,Sulphadimidine,5 gm,Bolus,Veterinary,320-0018-077
1574,Rampart-Power Bangladesh Ltd.,Anticoccid Vet,Sulphaclozine,300 mg/gm,Powder,Veterinary,320-0028-077
1575,Rampart-Power Bangladesh Ltd.,Tiamulirin Vet,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,320-0029-077
1576,Rampart-Power Bangladesh Ltd.,Lendazole,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,320-0031-077
1577,Rampart-Power Bangladesh Ltd.,Fasinasol,Triclabendazole,900 mg,Bolus,Veterinary,320-0032-077
1578,Rampart-Power Bangladesh Ltd.,Rampanid Plus,Erythromycin Thiocyanate + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,Veterinary,320-0033-077
1579,Rampart-Power Bangladesh Ltd.,Para-Power,Paracetamol,2 gm,Bolus,Veterinary,320-0034-077
1580,Rampart-Power Bangladesh Ltd.,Rampamox 30,Amoxicillin,30%,Powder,Veterinary,320-0035-077
1581,Renata Limited,Anticox Plus Vet,Amprolium + Ethopabate,70 mg + 4 mg/ml,Solution,Veterinary,002-0259-077
1582,Renata Limited,Avinex Vet,Levamisole,30 gm/100 gm,Powder,Veterinary,002-0227-077
1583,Renata Limited,Cal-D-Mag Vet,Calcium Gluconate + Dextrose + Magnesium Hypophosphite,208 mg + 200 mg + 50 mg/ml,Injection,Veterinary,002-0167-077
1584,Renata Limited,Coxicure 30%,Sulfaclozine,30%,Powder,Veterinary,002-0233-077
1585,Renata Limited,Dellergen,Promethazine Hydrochloride,500 mg/10 ml,Injection,Veterinary,002-0207-077
1586,Renata Limited,Deminth Vet,Morantel,100%,Powder,Veterinary,002-0112-077
1587,Renata Limited,Diadin Vet,Sulphadimidine,5 gm,Bolus,Veterinary,002-0142-077
1588,Renata Limited,Diadin Vet,Sulphadimidine,33.3 gm/100 ml,Injection,Veterinary,002-0143-077
1589,Renata Limited,Doxivet Vet,Doxycycline,100 mg/gm,Powder,Veterinary,002-0239-077
1590,Renata Limited,Enrocin Vet 10,Enrofloxacin,100 mg/ml,Solution,Veterinary,002-0238-077
1591,Renata Limited,Flukenil,Hexachlorophene,1 gm,Bolus,Veterinary,002-0108-077
1592,Renata Limited,Getavet 20,Gentamicin,20 mg/2 ml,Injection,Veterinary,002-0379-023
1593,Renata Limited,Helmex Vet,Albendazole,600 mg,Bolus,Veterinary,002-0157-077
1594,Renata Limited,Hemovit Vet,Cobalt Gluconate + Copper Gluconate + Cyanocobalamin + D-Pantothenol + Ferric Ammonium Citrate + Nicotinamide + Pyridoxine Hydrochloride + Riboflavine-5-Phosphate + Vitamin B1,7 mg + 2 mg + 1.2 mg + 200 mg + 150 mg + 1000 mg + 50 mg + 20 mg + 750 mg/10 ml,Injection,Veterinary,002-0342-077
1595,Renata Limited,Micronid Vet,Erythromycin + Sulphadiazine + Trimethoprim,180 mg + 150 mg + 30 mg,Powder,Veterinary,002-0125-077
1596,Renata Limited,Mycostop 20%,Tylosin,20 gm/100 gm,Powder,Veterinary,002-0260-077
1597,Renata Limited,Nitronex Vet 25%,Nitroxynil,25 gm/100 ml,Injection,Veterinary,002-0231-077
1598,Renata Limited,Pronapen Vet 40 Lac,Benzyl Penicillin + Procaine Penicillin,10 Lac IU + 30 Lac IU,Injection,Veterinary,002-0060-077
1599,Renata Limited,Prostavet Vet,Dinoprostone,50 mg/10 ml,Injection,Veterinary,002-0380-077
1600,Renata Limited,Renagard 45% Vet,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,002-0302-077
1601,Renata Limited,Rena Grower,Biotin + Cobalt + Copper + Cyanocobalamin + DL-Methionine + Elemental Iron + Folic Acid + Iodine + L-Lysine HCl + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Selenium + Vitamin A + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,20 mcg + 100 mcg + 3.2 mg + 4 mcg + 20 mg + 12.8 mg + 200 mcg + 200 mcg + 12 mg + 20 mg + 10 mg + 4.8 mg + 1.6 mg + 2 mg + 60 mcg + 4800 IU + 600 mcg + 960 IU + 10 mg + 800 mcg + 16 mg,Powder,Veterinary,002-0188-077
1602,Renata Limited,Rena Breeder,Biotin + Cobalt + Copper + Cyanocobalamin + DL-Methionine + Elemental Iron + Folic Acid + Iodine + L-Lysine HCl + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Selenium + Vitamin A + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,40 mcg + 160 mcg + 4 mg + 4.8 mcg + 40 mg + 24 mg + 320 mcg + 160 mcg + 24 mg + 24 mg + 16 mg + 16 mg + 1.6 mg + 2 mg + 60 mcg + 4800 IU + 1 mg + 960 IU + 9.2 mg + 800 mcg + 20 mg,Powder,Veterinary,002-0191-077
1603,Renata Limited,Rena Broiler,Biotin + Cobalt + Copper + Cyanocobalamin + DL-Methionine + Elemental Iron + Folic Acid + Iodine + L-Lysine HCl + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Selenium + Vitamin A + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,16 mcg + 100 mcg + 2.4 mg + 4 mcg + 20 mg + 9.6 mg + 200 mcg + 200 mcg + 12 mg + 240 mg + 12 mg + 3.2 mg + 1.6 mg + 2 mg + 48 mcg + 4800 IU + 600 mcg + 960 IU + 9.2 mg + 800 mcg + 16 mg,Powder,Veterinary,002-0190-077
1604,Renata Limited,Rena Layer,Biotin + Cobalt + Copper + Cyanocobalamin + DL-Methionine + Elemental Iron + Folic Acid + Iodine + L-Lysine HCl + Manganese + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Selenium + Vitamin A + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,16 mcg + 100 mcg + 2.4 mg + 4 mcg + 20 mg + 9.6 mg + 200 mcg + 200 mcg + 12 mg + 240 mg + 12 mg + 3.2 mg + 1.6 mg + 2 mg + 48 mcg + 4800 IU + 600 mcg + 960 IU + 9.2 mg + 800 mcg + 16 mg,Powder,Veterinary,002-0189-077
1605,Renata Limited,Rena Per Vet 100,Piperazine,100%,Powder,Veterinary,002-0343-077
1606,Renata Limited,Renamox 15%,Amoxicillin,15%,Powder,Veterinary,002-0301-077
1607,Renata Limited,Renamycin Vet,Oxytetracycline,500 mg,Bolus,Veterinary,002-0100-077
1608,Renata Limited,Renamycin vet,Oxytetracycline,5 gm/100 ml,Injection,Veterinary,002-0070-077
1609,Renata Limited,Renamycin Vet,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,002-0169-077
1610,Renata Limited,Renamycin 100,Oxytetracycline,10 gm/100 ml,Injection,Veterinary,002-0194-077
1611,Renata Limited,Renamycin I.M,Oxytetracycline,5 gm/100 ml,Injection,Veterinary,002-0069-077
1612,Renata Limited,Renaquine Vet,Flumequine,100 mg/gm,Powder,Veterinary,002-0299-077
1613,Renata Limited,Renaquine 20,Flumequine,20 gm/100 ml,Solution,Veterinary,002-0300-077
1614,Renata Limited,Renasol AD3E Vet,Vitamin A + Vitamin D3 + Vitamin E,62.5 mg + 20 mg + 20 mg,Liquid,Veterinary,002-0305-077
1615,Renata Limited,Renasol AD3E,Vitamin A + Vitamin D3 + Vitamin E,500000 IU + 75000 IU + 50 mg/100 ml,Injection,Veterinary,002-0341-077
1616,Renata Limited,Renatrim Vet,Sulphadiazine + Trimethoprim,1000 mg + 200 mg,Bolus,Veterinary,002-0206-077
1617,Renata Limited,Renatrim Vet,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,002-0304-077
1618,Renata Limited,Rumenton Vet,Antimony Potassium Tartrate + Ferrous Sulphate,2 gm + 2 gm,Bolus,Veterinary,002-0141-077
1619,Renata Limited,Streptopen Vet,Procaine Benzylpenicillin + Streptomycin,20 Lac Unit + 2.5 gm/vial,Injection,Veterinary,002-0170-077
1620,Renata Limited,Sulpha-3 Vet,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,002-0205-077
1621,Renata Limited,Sulpha-3 PLUS,Sulfaclozine,30%,Powder,Veterinary,002-0204-077
1622,Renata Limited,Tremacid,Oxyclozanide,1 gm,Bolus,Veterinary,002-0230-077
1623,Renata Limited,Vitaphos,Toldimfos Sodium,2 gm,Tablet,Veterinary,002-0229-077
1624,Renata Limited,Vitatonic,Biotin + Choline + Cobalt + Copper + Cyanocobalamin + DL-Methionine + Dexpanthanol + Ferric Ammonium Citrate + Glycine + Inositol + L-Lysine HCl + Nicotinamide + Pyridoxine Hydrochloride + Vitamin B1 + Vitamin B2,15 IU + 2 mg + 60 mg + 18 mg + 5000 IU + 400 mcg + 15 mcg + 150 mcg + 1 mg + 20 mg + 10 mg + 100 mcg + 1.5 mg + 5 mg + 2 mg/10 ml,Injection,Veterinary,002-0263-077
1625,Renata Limited,Anorexon,Choline + Cobalt + Cyanocobalamin + Iron + Vitamin B1,9.1 mg + 50 mg + 2 mg + 100 mg + 25 mg,Bolus,Veterinary,002-0144-077
1626,Renata Limited,Stomavet Vet,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,002-0229-077
1627,Renata Limited,Deminth,Morantel,446 mg,Bolus,Veterinary,002-0157-077
1628,Renata Limited,Sultrik,Sodium Sulfachloropyridazine + Trimethoprim,10 gm + 2 gm/100 gm,Powder,Veterinary,002-0228-077
1629,Renata Limited,Renamycin LA,Oxytetracycline,20 gm/100 ml,Injection,Veterinary,002-0138-077
1630,Renata Limited,Calboric Vet,Calcium Gluconate,2075 mg/100 ml,Injection,Veterinary,002-0232-077
1631,Renata Limited,Renaflox 20% Vet,Ciprofloxacin,200 gm/Kg,Powder,Veterinary,002-0438-077
1632,Renata Limited,Catophos Vet,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,002-0230-077
1633,Renata Limited,Gentaren,Gentamicin,50 mg/ml,Injection,Veterinary,002-0379-077
1634,Renata Limited,Enrocin Vet,Enrofloxacin,10 gm/100 gm,Powder,Veterinary,002-0277-077
1635,Renata Limited,Renadex Vet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,002-0275-077
1636,Renata Limited,Deminth F Vet,Morantel Citrate + Oxyclozanide,872 mg + 750 mg,Bolus,Veterinary,002-0423-077
1637,Renata Limited,Nitronex VET 34%,Nitroxynil,34 gm/100 ml,Injection,Veterinary,002-0261-077
1638,Renata Limited,Renamox 30%,Amoxicillin,30%,Powder,Veterinary,002-0510-077
1639,Renata Limited,Vitaphos Vet,Cyanocobalamin + Toldimfos Sodium,5 mg + 20 gm/100 ml,Injection,Veterinary,002-0316-077
1640,Renata Limited,Pyralgin 2g Vet,Paracetamol,2 gm,Bolus,Veterinary,002-0672-077
1641,Renata Limited,Renamet,Metronidazole,2 gm,Bolus,Veterinary,002-0703-077
1642,Renata Limited,Dellergen,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,002-0718-077
1643,Renata Limited,ZeroBLoat,Simethicone,1 gm/100 ml,Emulsion,Veterinary,002-0719-077
1644,Renata Limited,Renacin Inj. Vet,Chlorpheniramine Maleate,10 mg/ml,Injection,Veterinary,002-0714-077
1645,Renata Limited,Tilmisin (Vet),Tilmicosin,250 mg/ml,Oral Solution,Veterinary,002-0724-077
